Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	SAMEA3304467.contig00029	6095	7570	-	msr(C)	ABC-F type ribosomal protection protein Msr(C)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B/TYLOSIN	BLASTX	492	492	100.00	98.98	492	WP_063854349.1	ABC-F type ribosomal protection protein Msr(C)	NA	NA
NA	SAMEA3304467.contig00087	272	1237	+	vanH-A	D-lactate dehydrogenase VanH-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	322	322	100.00	100.00	322	WP_001059542.1	D-lactate dehydrogenase VanH-A	NA	NA
NA	SAMEA3304467.contig00087	1233	2261	+	vanA	D-alanine--(R)-lactate ligase VanA	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	343	343	100.00	100.00	343	WP_001079845.1	D-alanine--(R)-lactate ligase VanA	NA	NA
NA	SAMEA3304467.contig00087	2270	2875	+	vanX-A	D-Ala-D-Ala dipeptidase VanX-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	202	202	100.00	100.00	202	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A	NA	NA
NA	SAMEA3304467.contig00087	3306	4214	+	vanY-A	D-Ala-D-Ala carboxypeptidase VanY-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	BLASTX	303	303	100.00	99.67	303	WP_001812592.1	D-Ala-D-Ala carboxypeptidase VanY-A	NA	NA
NA	SAMEA3304467.contig00087	4370	4852	+	vanZ-A	glycopeptide resistance protein VanZ-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	161	161	100.00	100.00	161	WP_000516404.1	glycopeptide resistance protein VanZ-A	NA	NA
NA	SAMEA3304467.contig00098	281	1015	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038792.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
NA	SAMEA3304467.contig00098	4277	5182	+	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	302	302	100.00	100.00	302	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
NA	SAMEA3304467.contig00115	342	836	+	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
NA	SAMEA3304467.contig00129	1129	1920	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
NA	SAMEA3304467.contig00129	2016	2453	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIAL_CONTIG_ENDX	146	180	81.11	100.00	146	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
NA	SAMEA3304467.contig00130	487	1179	+	vanR-A	vancomycin resistance response regulator transcription factor VanR-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	231	231	100.00	100.00	231	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	NA	NA
NA	SAMEA3304467.contig00130	1160	2311	+	vanS-A	vancomycin resistance histidine kinase VanS-A	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTX	384	384	100.00	100.00	384	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	NA	NA
